batch,id,light.status,light.side,distance.moved,mean.velocity,left.side.visits,left.side.time,left.side.latency,right.side.visits,right.side.time,right.side.latency,right.feeder.side.visits,right.feeder.side.time,right.feeder.side.latency,left.feeder.side.visits,left.feeder.side.time,left.feeder.side.latency,size
1,small_pi2_w1,1before,right,189.49,1.08652,2,95,0,2,80.6,17,1,20.8,154.8,3,25.6,0,small
1,small_pi2_w1,2after,right,146.377,0.816836,0,0,180,1,180.2,0,7,138.6,6.8,0,0,180,small
1,large_pi2_w1,1before,right,799.783,4.44818,8,131.2,0,7,49,20.8,3,4.8,40.4,20,28.8,2.8,large
1,large_pi2_w1,2after,right,696.737,3.98591,15,49,18.6,15,126.6,2,6,15,3.2,2,3,55,large
1,small_pi1_w1,1before,right,692.819,3.849,11,104.4,0,11,75.2,25.2,3,4.2,28,4,13.2,18.2,small
1,small_pi1_w1,2after,right,733.726,4.12205,6,33,82.2,6,145.2,0,11,11.4,26.2,4,7.4,84.2,small
1,large_pi1_w1,1before,right,184.436,1.02578,0,0,180,1,180.2,0,3,30.2,53,0,0,180,large
1,large_pi1_w1,2after,right,160.616,0.892309,0,0,180,1,180.2,0,4,26.6,2.2,0,0,180,large
1,small_pi3_w1,1before,NA,186.671,1.03706,1,102,36.2,2,78.2,0,0,0,180,0,0,180,small
1,small_pi3_w1,2after,NA,183.205,1.05655,7,127.2,0,3,49.4,14,2,5.2,143.8,6,57.6,38.4,small
1,large_pi3_w1,1before,right,100.403,0.557792,1,39,141.2,1,141.2,0,2,159,0,1,9.6,145.4,large
1,large_pi3_w1,2after,right,98.5963,0.598278,1,37,0.2,1,141.6,37.2,1,14,45.6,0,0,180,large
2,small_pi1_w2,1before,right,558.439,3.10244,8,105,0,9,74.2,15.4,3,8,28.4,6,23.4,66.2,small
2,small_pi1_w2,2after,right,288.657,1.61081,3,74.6,0,3,105.6,44.2,5,26.6,46,4,18.8,36.2,small
2,large_pi1_w2,1before,right,473.099,2.64893,2,67.4,39.8,3,112.4,0,12,40.4,0,4,14,42.6,large
2,large_pi1_w2,2after,right,640.277,3.55709,3,105.4,19.6,4,74.2,0,5,11,3,13,29.6,23,large
2,small_pi2_w2,1before,left,196.631,1.10841,2,51.4,125.6,2,126.6,0,4,61.4,0,5,23.4,127.6,small
2,small_pi2_w2,2after,left,261.682,1.45379,5,55.8,0,6,123.4,13.2,3,11.8,45.6,2,9.4,21.4,small
2,large_pi2_w2,1before,left,248.386,1.3923,2,71,12.2,3,108.2,0,1,1.2,151.6,0,0,180,large
2,large_pi2_w2,2after,left,143.687,0.798259,0,0,180,1,180.2,0,2,11.2,51.2,0,0,180,large
2,small_pi3_w2,1before,left,465.93,2.5885,2,27.6,0,2,152.6,5.8,6,15.8,9.6,6,7,23.6,small
2,small_pi3_w2,2after,left,384.503,2.17233,2,85.8,61.6,2,92,0,6,12.8,1,10,14.8,67,small
2,large_pi3_w2,1before,left,388.66,2.15922,4,82.6,20.2,4,97.4,0,2,9.4,74.2,1,4.6,128.6,large
2,large_pi3_w2,2after,left,549.914,3.08248,11,97.6,0.4,10,81.2,36,1,3.2,164.8,8,7,1.4,large
3,small_pi1_w3,1before,right,835.224,4.66606,15,94.2,0,17,84,2.8,1,0.4,141.8,7,8.2,25.2,small
3,small_pi1_w3,2after,right,832.585,4.62547,11,100.2,7,11,79.6,0,3,9.6,54,11,13,12,small
3,large_pi1_w3,1before,right,271.359,1.50755,3,77.6,0,3,102.4,15.2,3,24.4,93.2,3,28.2,76.6,large
3,large_pi1_w3,2after,right,323.953,1.80174,2,40.8,49,3,139.4,0,9,49.8,27.2,2,18.4,53,large
3,small_pi2_w3,1before,left,614.045,3.41516,8,45.4,34.8,8,134.8,0,2,21.4,7.4,3,1,78,small
3,small_pi2_w3,2after,left,770.405,4.28003,16,105,4.4,16,75.2,0,2,6.8,166.6,4,4.8,46.8,small
3,large_pi2_w3,1before,left,167.959,0.933103,1,134,0,1,46.2,134,1,6.4,137,2,12,62.4,large
3,large_pi2_w3,2after,left,167.968,0.933155,1,41.4,19.2,2,138.8,0,1,3,72,0,0,180,large
3,small_pi3_w3,1before,right,350.347,1.95943,7,86.8,22.8,7,92.8,0,7,16.6,17.6,7,39.2,27.6,small
3,small_pi3_w3,2after,right,239.516,1.33064,2,104.8,1,3,75.4,0,3,7,46.4,6,40.2,4,small
3,large_pi3_w3,1before,right,348.327,1.93515,5,108.8,0,5,70.6,4.8,6,24,8.2,6,40.8,32.2,large
3,large_pi3_w3,2after,right,248.312,1.37951,3,104,0,2,75.8,45.6,2,30.4,67.2,6,36.6,20.2,large
