batch,id,light.status,light.side,distance.moved,mean.velocity,left.side.visits,left.side.time,left.side.latency,right.side.visits,right.side.time,right.side.latency,right.feeder.side.visits,right.feeder.side.time,right.feeder.side.latency,left.feeder.side.visits,left.feeder.side.time,left.feeder.side.latency,size
1,small_pi2_w1,1before,right,174.859,1.04456,5,90,0,2,80.6,17,1,20.8,154.8,6,20.6,0,small
1,small_pi2_w1,2after,right,132.808,0.769456,0,0,180,5,176.4,0,11,134.8,6.8,0,0,180,small
1,large_pi2_w1,1before,right,795.527,4.45923,8,131.2,0,8,48.4,20.8,4,4.2,40.4,20,28.8,2.8,large
1,large_pi2_w1,2after,right,696.255,3.98315,15,49,18.6,15,126.6,2,6,15,3.2,2,3,55,large
1,small_pi1_w1,1before,right,679.074,3.90272,13,101.6,0,11,75.2,25.2,3,4.2,28,6,10.4,18.2,small
1,small_pi1_w1,2after,right,733.726,4.12205,6,33,82.2,6,145.2,0,11,11.4,26.2,4,7.4,84.2,small
1,large_pi1_w1,1before,right,174.754,0.987308,0,0,180,3,179,0,5,29,53,0,0,180,large
1,large_pi1_w1,2after,right,160.616,0.892309,0,0,180,1,180.2,0,4,26.6,2.2,0,0,180,large
1,small_pi3_w1,1before,NA,186.671,1.03706,1,102,36.2,2,78.2,0,0,0,180,0,0,180,small
1,small_pi3_w1,2after,NA,179.193,1.04182,6,125,0,3,49.4,14,2,5.2,143.8,5,55.4,38.4,small
1,large_pi3_w1,1before,right,94.7133,0.538756,2,38.8,141.2,2,138.8,0.8,3,125.6,0.8,2,9.4,145.4,large
1,large_pi3_w1,2after,right,90.4215,0.56655,1,37,0.2,2,124.2,37.2,2,9.6,45.6,0,0,180,large
2,small_week2_pi1,1before,right,551.347,3.15055,10,103,0,10,73.6,15.4,4,7.4,28.4,8,21.4,66.2,small
2,small_week2_pi1,2after,right,286.04,1.60337,3,74.6,0,3,105.6,44.2,5,26.6,46,4,18.8,36.2,small
2,large_week2_pi1,1before,right,470.332,2.64529,2,67.4,39.8,3,112.4,0,12,40.4,0,4,14,42.6,large
2,large_week2_pi1,2after,right,636.002,3.55706,3,105.4,19.6,4,74.2,0,5,11,3,13,29.6,23,large
2,pi2_small,1before,left,180.534,1.13259,3,49.4,125.6,4,113.4,8,6,48.2,8,6,21.4,127.6,small
2,pi2_small,2after,left,252.802,1.43474,5,55.8,0,7,120.4,13.2,4,8.8,45.6,2,9.4,21.4,small
2,pi2_large,1before,left,248.386,1.3923,2,71,12.2,3,108.2,0,1,1.2,151.6,0,0,180,large
2,pi2_large,2after,left,143.687,0.798259,0,0,180,1,180.2,0,2,11.2,51.2,0,0,180,large
2,pi3_small,1before,left,459.373,2.62199,2,27.6,0,3,148.6,5.8,6,11.2,9.6,6,7,23.6,small
2,pi3_small,2after,left,367.224,2.20158,4,80.4,61.6,3,90.8,0,6,11,1,5,10.6,67,small
2,pi3_large,1before,left,374.284,2.13633,4,82.6,20.2,6,94.2,0,1,5,79,1,4.6,128.6,large
2,pi3_large,2after,left,549.914,3.08248,11,97.6,0.4,10,81.2,36,1,3.2,164.8,8,7,1.4,large
3,small_pi1_w3,1before,right,835.157,4.66568,15,94.2,0,17,84,2.8,1,0.4,141.8,7,8.2,25.2,small
3,small_pi1_w3,2after,right,827.992,4.62566,12,100,7,11,79.6,0,3,9.6,54,12,12.8,12,small
3,large_pi1_w3,1before,right,219.597,1.3881,7,67,0,5,96.8,15.2,5,18.8,93.2,7,17.6,76.6,large
3,large_pi1_w3,2after,right,303.594,1.75488,2,40.8,49,6,135,2,12,47.8,27.2,2,18.4,53,large
3,small_pi2_w3,1before,left,612.321,3.42845,8,45,34.8,9,134.8,0,3,21,7.4,3,1,78,small
3,small_pi2_w3,2after,left,770.612,4.28118,16,103.2,4.4,16,75.6,0,2,6.8,166.6,4,4.8,46.8,small
3,large_pi2_w3,1before,left,167.966,0.933144,6,92.8,0,1,46.2,134,1,6.4,137,2,12,62.4,large
3,large_pi2_w3,2after,left,167.968,0.933158,1,41.2,19.2,2,138.8,0,1,3,72,0,0,180,large
3,small_pi3_w3,1before,right,302.647,1.94004,14,73.6,26.4,9,92.2,0,8,12.2,0,13,27.2,30.6,small
3,small_pi3_w3,2after,right,207.951,1.23194,4,98.6,1,4,72.8,0,4,4.2,46.4,8,34.2,4,small
3,large_pi3_w3,1before,right,296.81,1.80322,9,104.2,0,8,66.8,4.6,9,18.6,8.4,11,36.6,31.6,large
3,large_pi3_w3,2after,right,232.474,1.36109,5,96.6,0,2,76,45.6,2,29.8,67.4,8,28.8,20.2,large
