minute,id,light.status,light.side,distance.moved,mean.velocity,left.side.visits,left.side.time,left.side.latency,right.side.visits,right.side.time,right.side.latency,right.feeder.side.visits,right.feeder.side.time,right.feeder.side.latency,left.feeder.side.visits,left.feeder.side.time,left.feeder.side.latency
1,small_pi2_w1,1before,right,70.2684,1.17506,2,21.2,0,1,38.8,17,0,0,60,1,2.4,0
2,small_pi2_w1,1before,right,73.3791,1.23119,1,60,60,0,0,60,0,0,60,2,23.2,69.8
3,small_pi2_w1,1before,right,45.8421,0.833493,1,13.8,120,1,41.8,133.8,1,20.8,154.8,0,0,60
1,small_pi2_w1,2after,right,54.2461,0.913234,0,0,60,1,60,0,3,37.8,6.8,0,0,60
2,small_pi2_w1,2after,right,35.6031,0.597367,0,0,60,1,60,60,2,58.2,60,0,0,60
3,small_pi2_w1,2after,right,55.9405,0.932342,0,0,60,1,60,120,4,42.6,120,0,0,60
1,large_pi2_w1,1before,right,252.628,4.22455,3,37.2,0,2,22.8,20.8,1,3.8,40.4,6,10.4,2.8
2,large_pi2_w1,1before,right,241.548,4.02581,4,57,60,3,3,108.4,0,0,60,7,7.2,69.8
3,large_pi2_w1,1before,right,305.607,5.09345,3,36.8,120,2,23.2,124.8,2,1,136.8,7,11,151.2
1,large_pi2_w1,2after,right,189.719,3.28233,3,18.2,18.6,4,39.8,2,3,4.2,3.2,1,1.4,55
2,large_pi2_w1,2after,right,241.824,4.03041,4,7.4,82.8,5,52.6,60,3,10.8,66.8,0,0,60
3,large_pi2_w1,2after,right,265.194,4.65253,8,23.4,121,8,34.2,120,0,0,60,1,1.6,176
1,small_pi1_w1,1before,right,164.25,2.74665,2,42.2,0,1,17.8,25.2,1,1.4,28,1,3,18.2
2,small_pi1_w1,1before,right,213.141,3.55236,5,35.8,60,5,24,61.4,1,0.6,116.6,2,6.6,75.8
3,small_pi1_w1,1before,right,312.746,5.21243,5,26.4,120.8,6,33.2,120,1,2.2,174,1,3.6,159.4
1,small_pi1_w1,2after,right,228.813,3.82631,0,0,60,1,60,0,5,7.6,26.2,0,0,60
2,small_pi1_w1,2after,right,225.241,3.75401,2,12.8,82.2,3,46.8,60,3,2,60.8,2,1.6,84.2
3,small_pi1_w1,2after,right,279.498,4.80237,4,20.2,132.6,4,38.4,120,3,1.8,128.2,2,5.8,134.8
1,large_pi1_w1,1before,right,52.498,0.877893,0,0,60,1,60,0,1,4.2,53,0,0,60
2,large_pi1_w1,1before,right,53.3481,0.889134,0,0,60,1,60,60,1,22,85.2,0,0,60
3,large_pi1_w1,1before,right,78.5769,1.30962,0,0,60,1,60,120,1,4,121.4,0,0,60
1,large_pi1_w1,2after,right,63.82,1.06722,0,0,60,1,60,0,2,7.8,2.4,0,0,60
2,large_pi1_w1,2after,right,38.4249,0.640414,0,0,60,1,60,60,1,18,100.2,0,0,60
3,large_pi1_w1,2after,right,58.0571,0.967618,0,0,60,1,60,120,1,0.4,179.6,0,0,60
1,small_pi3_w1,1before,NA,71.4221,1.19435,1,23.8,36.2,1,36.2,0,0,0,60,0,0,60
2,small_pi3_w1,1before,NA,56.9857,0.949761,1,60,60,0,0,60,0,0,60,0,0,60
3,small_pi3_w1,1before,NA,58.1972,0.969953,1,18.2,120,1,41.8,138.2,0,0,60,0,0,60
1,small_pi3_w1,2after,NA,56.6524,0.947365,3,50.4,0,2,9.6,14,0,0,60,1,19.2,38.4
2,small_pi3_w1,2after,NA,63.876,1.17419,4,56.8,60,0,0,60,0,0,60,5,38.4,65.4
3,small_pi3_w1,2after,NA,62.6768,1.05873,2,20,120,1,39.8,138.2,2,5.2,143.8,0,0,60
1,large_pi3_w1,1before,right,7.91894,0.132424,0,0,60,1,60,0,1,60,0,0,0,60
2,large_pi3_w1,1before,right,25.0172,0.416953,0,0,60,1,60,60,2,53,60,0,0,60
3,large_pi3_w1,1before,right,67.2393,1.12066,1,38.8,141.2,1,21.2,120,1,15,120,1,9.6,145.4
1,large_pi3_w1,2after,right,73.8868,1.23971,1,37,0.2,1,22.8,37.2,1,14,45.6,0,0,60
2,large_pi3_w1,2after,right,17.9727,0.299545,0,0,60,1,60,60,0,0,60,0,0,60
3,large_pi3_w1,2after,right,6.73684,0.149045,0,0,60,1,45.8,120,0,0,60,0,0,60
